name,year,typed_total,top_virus,top_cases,second_cases,top_share,dominance_gap
南陵县,2009,1,Others,1,0,1,1
南陵县,2010,44,Mixed,16,16,0.36363636363636365,0
南陵县,2011,42,CV-A16,26,15,0.6190476190476191,11
南陵县,2012,48,CV-A16,44,3,0.9166666666666666,41
南陵县,2013,68,EV71,41,24,0.6029411764705882,17
南陵县,2014,90,EV71,65,17,0.7222222222222222,48
南陵县,2015,38,Others,21,12,0.5526315789473685,9
南陵县,2016,58,CV-A16,31,23,0.5344827586206896,8
南陵县,2017,44,Others,23,12,0.5227272727272727,11
南陵县,2018,5,Others,5,0,1,5
南陵县,2019,72,CV-A16,64,8,0.8888888888888888,56
南陵县,2020,51,Others,51,0,1,51
南陵县,2021,50,Others,42,8,0.84,34
南陵县,2022,10,CV-A16,6,4,0.6,2
南陵县,2023,56,Others,49,7,0.875,42
博望区,2012,8,Others,5,3,0.625,2
博望区,2013,11,Others,7,4,0.6363636363636364,3
博望区,2014,17,Others,11,3,0.6470588235294118,8
博望区,2015,16,EV71,9,4,0.5625,5
博望区,2016,28,EV71,22,6,0.7857142857142857,16
博望区,2017,53,Others,38,13,0.71698113207547165,25
博望区,2018,43,Others,41,2,0.9534883720930233,39
博望区,2019,72,CV-A16,69,2,0.9583333333333334,67
博望区,2020,122,Others,121,1,0.9918032786885246,120
博望区,2021,52,Others,42,10,0.8076923076923077,32
博望区,2022,13,Others,10,3,0.7692307692307693,7
博望区,2023,82,Others,57,25,0.6951219512195121,32
叶集区,2016,1,EV71,1,0,1,1
叶集区,2018,1,Others,1,0,1,1
叶集区,2020,1,Others,1,0,1,1
叶集区,2021,1,Others,1,0,1,1
叶集区,2022,1,Others,1,0,1,1
叶集区,2023,14,Others,14,0,1,14
含山县,2012,16,CV-A16,7,5,0.4375,2
含山县,2013,59,Others,33,24,0.559322033898305,9
含山县,2014,52,Others,21,20,0.40384615384615385,1
含山县,2015,39,Others,22,12,0.5641025641025641,10
含山县,2016,61,Others,32,27,0.5245901639344263,5
含山县,2017,57,Others,39,18,0.6842105263157895,21
含山县,2018,60,Others,46,12,0.7666666666666667,34
含山县,2019,25,Others,12,11,0.48,1
含山县,2020,42,Others,40,2,0.9523809523809523,38
含山县,2021,41,Others,35,4,0.8536585365853658,31
含山县,2022,23,Others,19,3,0.8260869565217391,16
含山县,2023,45,Others,35,8,0.7777777777777778,27
和县,2010,4,Mixed,2,2,0.5,0
和县,2011,5,CV-A16,3,2,0.6,1
和县,2012,5,Mixed,2,2,0.4,0
和县,2013,34,Others,17,16,0.5,1
和县,2014,46,Others,21,18,0.45652173913043476,3
和县,2015,43,Others,36,4,0.8372093023255814,32
和县,2016,59,EV71,27,16,0.4576271186440678,11
和县,2017,75,Others,45,28,0.6,17
和县,2018,53,Others,46,7,0.8679245283018868,39
和县,2019,77,CV-A16,51,26,0.6623376623376623,25
和县,2020,52,Others,52,0,1,52
和县,2021,107,Others,104,3,0.9719626168224299,101
和县,2022,30,Others,20,10,0.6666666666666666,10
和县,2023,141,Others,133,8,0.9432624113475178,125
固镇县,2008,1,EV71,1,0,1,1
固镇县,2010,17,EV71,9,7,0.5294117647058824,2
固镇县,2011,52,EV71,49,3,0.9423076923076923,46
固镇县,2012,58,EV71,22,18,0.3793103448275862,4
固镇县,2013,43,EV71,40,2,0.9302325581395349,38
固镇县,2014,75,CV-A16,40,18,0.5333333333333333,22
固镇县,2015,43,EV71,23,15,0.5348837209302325,8
固镇县,2016,76,Others,36,22,0.47368421052631576,14
固镇县,2017,53,Others,31,12,0.5849056603773585,19
固镇县,2018,48,Others,35,8,0.7291666666666666,27
固镇县,2019,24,Others,20,4,0.8333333333333334,16
固镇县,2020,102,Others,102,0,1,102
固镇县,2021,62,Mixed,31,31,0.5,0
固镇县,2022,8,Others,7,1,0.875,6
固镇县,2023,49,Others,48,1,0.9795918367346939,47
埇桥区,2008,8,EV71,8,0,1,8
埇桥区,2011,3,EV71,3,0,1,3
埇桥区,2012,7,CV-A16,6,1,0.8571428571428571,5
埇桥区,2013,1,EV71,1,0,1,1
埇桥区,2014,13,EV71,7,6,0.5384615384615384,1
埇桥区,2015,16,Others,13,3,0.8125,10
埇桥区,2016,21,EV71,9,8,0.42857142857142855,1
埇桥区,2017,16,Others,15,1,0.9375,14
埇桥区,2018,40,Others,39,1,0.975,38
埇桥区,2019,27,Others,27,0,1,27
埇桥区,2020,17,Others,17,0,1,17
埇桥区,2021,44,Others,43,1,0.9772727272727273,42
埇桥区,2022,22,Others,15,7,0.6818181818181818,8
埇桥区,2023,32,Others,30,2,0.9375,28
大观区,2014,1,EV71,1,0,1,1
大观区,2021,1,CV-A16,1,0,1,1
大通区,2010,14,CV-A16,7,4,0.5,3
大通区,2011,13,EV71,10,3,0.7692307692307693,7
大通区,2012,9,EV71,4,3,0.4444444444444444,1
大通区,2013,8,Mixed,3,3,0.375,0
大通区,2014,12,EV71,6,4,0.5,2
大通区,2015,14,Others,7,6,0.5,1
大通区,2016,15,CV-A16,7,5,0.4666666666666667,2
大通区,2017,16,Others,9,4,0.5625,5
大通区,2018,33,Others,20,13,0.6060606060606061,7
大通区,2019,16,Mixed,8,8,0.5,0
大通区,2020,25,Others,23,1,0.92,22
大通区,2021,32,Others,20,12,0.625,8
大通区,2022,19,Others,18,1,0.9473684210526315,17
大通区,2023,22,Others,22,0,1,22
天长市,2010,9,EV71,8,1,0.8888888888888888,7
天长市,2011,10,EV71,8,2,0.8,6
天长市,2012,3,CV-A16,3,0,1,3
天长市,2013,1,EV71,1,0,1,1
天长市,2014,19,EV71,9,7,0.47368421052631576,2
天长市,2015,19,Others,19,0,1,19
天长市,2016,19,CV-A16,10,8,0.5263157894736842,2
天长市,2017,20,EV71,12,8,0.6,4
天长市,2018,47,Others,24,20,0.5106382978723404,4
天长市,2019,17,CV-A16,9,8,0.5294117647058824,1
天长市,2020,22,Others,17,5,0.7727272727272727,12
天长市,2021,43,Others,33,10,0.7674418604651163,23
天长市,2022,56,CV-A16,43,13,0.7678571428571429,30
天长市,2023,51,Others,49,2,0.9607843137254902,47
太和县,2009,23,EV71,20,3,0.8695652173913043,17
太和县,2010,9,EV71,6,2,0.6666666666666666,4
太和县,2011,53,EV71,45,8,0.8490566037735849,37
太和县,2012,14,EV71,6,4,0.42857142857142855,2
太和县,2013,24,EV71,21,3,0.875,18
太和县,2014,21,EV71,18,2,0.8571428571428571,16
太和县,2015,2,Mixed,1,1,0.5,0
太和县,2016,97,EV71,67,26,0.6907216494845361,41
太和县,2017,8,EV71,6,2,0.75,4
太和县,2018,22,Others,16,4,0.7272727272727273,12
太和县,2019,31,Others,19,9,0.6129032258064516,10
太和县,2020,62,Others,49,7,0.7903225806451613,42
太和县,2021,82,Others,59,16,0.7195121951219512,43
太和县,2022,46,EV71,31,14,0.6739130434782609,17
太和县,2023,106,EV71,63,40,0.5943396226415094,23
太湖县,2010,4,Others,2,1,0.5,1
太湖县,2011,4,EV71,3,1,0.75,2
太湖县,2012,5,Mixed,2,2,0.4,0
太湖县,2014,12,CV-A16,7,4,0.5833333333333334,3
太湖县,2015,32,Others,27,3,0.84375,24
太湖县,2016,46,Others,30,15,0.6521739130434783,15
太湖县,2017,44,Others,43,1,0.9772727272727273,42
太湖县,2018,50,Others,26,17,0.52,9
太湖县,2019,1,Others,1,0,1,1
太湖县,2020,53,Others,51,2,0.9622641509433962,49
太湖县,2021,11,CV-A16,6,5,0.5454545454545454,1
太湖县,2023,77,Others,75,2,0.974025974025974,73
宁国市,2008,3,EV71,3,0,1,3
宁国市,2010,21,Mixed,7,7,0.3333333333333333,0
宁国市,2011,33,EV71,17,13,0.5151515151515151,4
宁国市,2012,22,Others,11,8,0.5,3
宁国市,2013,22,Others,12,8,0.5454545454545454,4
宁国市,2014,36,Others,13,12,0.3611111111111111,1
宁国市,2015,29,CV-A16,11,10,0.3793103448275862,1
宁国市,2016,24,Others,13,6,0.5416666666666666,7
宁国市,2017,13,Mixed,6,6,0.46153846153846156,0
宁国市,2018,46,Others,37,9,0.8043478260869565,28
宁国市,2019,67,CV-A16,57,10,0.8507462686567164,47
宁国市,2020,38,Others,36,2,0.9473684210526315,34
宁国市,2021,54,Others,54,0,1,54
宁国市,2022,16,Others,15,1,0.9375,14
宁国市,2023,56,Others,52,4,0.9285714285714286,48
定远县,2010,9,EV71,8,1,0.8888888888888888,7
定远县,2011,38,EV71,26,9,0.6842105263157895,17
定远县,2012,24,CV-A16,21,3,0.875,18
定远县,2013,13,EV71,8,5,0.6153846153846154,3
定远县,2014,28,EV71,21,5,0.75,16
定远县,2015,11,EV71,7,2,0.6363636363636364,5
定远县,2016,4,Mixed,2,2,0.5,0
定远县,2017,27,Others,15,10,0.5555555555555556,5
定远县,2018,35,Others,29,6,0.8285714285714286,23
定远县,2019,47,Others,26,21,0.5531914893617021,5
定远县,2020,62,Others,62,0,1,62
定远县,2021,58,CV-A16,34,24,0.5862068965517241,10
定远县,2022,60,Others,39,21,0.65,18
定远县,2023,55,Others,46,5,0.8363636363636363,41
宜秀区,2008,1,EV71,1,0,1,1
宜秀区,2009,1,CV-A16,1,0,1,1
宜秀区,2010,13,EV71,7,4,0.5384615384615384,3
宜秀区,2014,1,EV71,1,0,1,1
宜秀区,2015,2,EV71,2,0,1,2
宜秀区,2016,17,Others,8,6,0.47058823529411764,2
宜秀区,2017,33,Others,28,5,0.8484848484848485,23
宜秀区,2018,40,Others,25,14,0.625,11
宜秀区,2019,16,Others,15,1,0.9375,14
宜秀区,2020,26,Others,26,0,1,26
宜秀区,2021,9,Others,5,3,0.5555555555555556,2
宜秀区,2023,4,Mixed,2,2,0.5,0
宣州区,2010,24,Others,12,7,0.5,5
宣州区,2011,54,EV71,36,13,0.6666666666666666,23
宣州区,2012,30,Others,15,11,0.5,4
宣州区,2013,52,Others,22,21,0.4230769230769231,1
宣州区,2014,60,EV71,39,15,0.65,24
宣州区,2015,35,Others,18,11,0.5142857142857142,7
宣州区,2016,4,EV71,3,1,0.75,2
宣州区,2017,27,CV-A16,23,3,0.8518518518518519,20
宣州区,2018,53,Others,37,13,0.6981132075471698,24
宣州区,2019,44,CV-A16,31,10,0.7045454545454546,21
宣州区,2020,21,Others,17,4,0.8095238095238095,13
宣州区,2021,38,Others,24,7,0.631578947368421,17
宣州区,2022,31,Others,25,6,0.8064516129032258,19
宣州区,2023,52,Others,48,4,0.9230769230769231,44
宿松县,2010,9,CV-A16,7,2,0.7777777777777778,5
宿松县,2011,13,Mixed,5,5,0.38461538461538464,0
宿松县,2012,29,EV71,14,9,0.4827586206896552,5
宿松县,2014,1,Others,1,0,1,1
宿松县,2015,44,Others,33,9,0.75,24
宿松县,2016,43,Others,26,15,0.6046511627906976,11
宿松县,2017,36,Others,25,8,0.6944444444444444,17
宿松县,2018,40,Others,33,7,0.825,26
宿松县,2020,51,Others,50,1,0.9803921568627451,49
宿松县,2021,9,Others,9,0,1,9
宿松县,2022,1,Others,1,0,1,1
宿松县,2023,73,Others,72,1,0.9863013698630136,71
寿县,2009,6,EV71,5,1,0.8333333333333334,4
寿县,2010,42,EV71,41,1,0.9761904761904762,40
寿县,2011,12,EV71,9,3,0.75,6
寿县,2012,15,EV71,10,3,0.6666666666666666,7
寿县,2013,20,EV71,13,7,0.65,6
寿县,2014,18,EV71,12,3,0.6666666666666666,9
寿县,2015,22,Others,11,8,0.5,3
寿县,2016,41,Others,19,18,0.4634146341463415,1
寿县,2017,13,Others,7,4,0.5384615384615384,3
寿县,2018,79,CV-A16,51,28,0.6455696202531646,23
寿县,2019,26,Others,14,12,0.5384615384615384,2
寿县,2020,57,Others,51,6,0.8947368421052632,45
寿县,2021,67,Others,55,12,0.8208955223880597,43
寿县,2022,4,Others,3,1,0.75,2
寿县,2023,66,Others,66,0,1,66
屯溪区,2010,16,Mixed,7,7,0.4375,0
屯溪区,2011,13,EV71,8,5,0.6153846153846154,3
屯溪区,2012,13,EV71,9,2,0.6923076923076923,7
屯溪区,2013,19,EV71,13,5,0.6842105263157895,8
屯溪区,2014,10,Others,5,4,0.5,1
屯溪区,2015,4,Others,3,1,0.75,2
屯溪区,2016,19,Others,11,8,0.5789473684210527,3
屯溪区,2017,23,Others,20,2,0.8695652173913043,18
屯溪区,2018,37,CV-A16,19,17,0.5135135135135135,2
屯溪区,2019,42,Others,32,9,0.7619047619047619,23
屯溪区,2020,40,Others,40,0,1,40
屯溪区,2021,38,Others,31,7,0.8157894736842105,24
屯溪区,2022,6,Others,6,0,1,6
屯溪区,2023,32,Others,31,1,0.96875,30
岳西县,2010,11,CV-A16,7,2,0.6363636363636364,5
岳西县,2011,2,EV71,2,0,1,2
岳西县,2012,3,EV71,2,1,0.6666666666666666,1
岳西县,2014,10,CV-A16,7,3,0.7,4
岳西县,2015,3,Others,3,0,1,3
岳西县,2016,1,Others,1,0,1,1
岳西县,2017,7,CV-A16,5,2,0.7142857142857143,3
岳西县,2018,42,Others,31,11,0.7380952380952381,20
岳西县,2019,13,Others,7,6,0.5384615384615384,1
岳西县,2020,64,Others,64,0,1,64
岳西县,2023,58,Others,58,0,1,58
巢湖市,2010,1,EV71,1,0,1,1
巢湖市,2012,38,EV71,15,13,0.39473684210526316,2
巢湖市,2013,38,EV71,18,13,0.47368421052631576,5
巢湖市,2014,38,CV-A16,16,12,0.42105263157894735,4
巢湖市,2015,18,EV71,9,5,0.5,4
巢湖市,2016,23,Others,17,4,0.7391304347826086,13
巢湖市,2017,24,Others,17,6,0.7083333333333334,11
巢湖市,2018,13,Others,9,4,0.6923076923076923,5
巢湖市,2019,33,Others,21,12,0.6363636363636364,9
巢湖市,2020,3,Others,3,0,1,3
巢湖市,2021,29,CV-A16,18,10,0.6206896551724138,8
巢湖市,2022,43,EV71,24,18,0.5581395348837209,6
巢湖市,2023,154,EV71,135,19,0.8766233766233766,116
广德市,2010,16,CV-A16,8,5,0.5,3
广德市,2011,28,EV71,13,11,0.4642857142857143,2
广德市,2012,15,Others,7,6,0.4666666666666667,1
广德市,2013,6,EV71,4,1,0.6666666666666666,3
广德市,2014,24,EV71,18,4,0.75,14
广德市,2015,77,Others,61,16,0.7922077922077922,45
广德市,2016,39,CV-A16,18,11,0.46153846153846156,7
广德市,2017,2,Others,2,0,1,2
广德市,2018,94,Others,64,27,0.6808510638297872,37
广德市,2019,42,CV-A16,35,7,0.8333333333333334,28
广德市,2020,71,CV-A16,67,4,0.9436619718309859,63
广德市,2021,48,Others,48,0,1,48
广德市,2022,64,Others,63,1,0.984375,62
广德市,2023,79,Others,77,2,0.9746835443037974,75
庐江县,2009,1,Others,1,0,1,1
庐江县,2010,6,EV71,5,1,0.8333333333333334,4
